Symbol,Name,Country,IPO Year,Sector,Industry
DISH,DISH Network Corporation Class A Common Stock,United States,1995,Consumer Services,Television Services
DJCO,Daily Journal Corp. (S.C.) Common Stock,United States,,Consumer Services,Newspapers/Magazines
DKNG,DraftKings Inc. Class A Common Stock,United States,2019,Consumer Services,Services-Misc. Amusement & Recreation
DLCAU,Deep Lake Capital Acquisition Corp. Unit,United States,2021,Finance,Business Services
DLHC,DLH Holdings Corp.,United States,,Technology,Professional Services
DLPN,Dolphin Entertainment Inc. Common Stock,United States,,Consumer Services,Other Consumer Services
DLTH,Duluth Holdings Inc. Class B Common Stock,United States,2015,Consumer Services,Clothing/Shoe/Accessory Stores
DLTR,Dollar Tree Inc. Common Stock,United States,1995,Consumer Services,Department/Specialty Retail Stores
DMAC,DiaMedica Therapeutics Inc. Common Stock,United States,2018,Health Care,Major Pharmaceuticals
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,United States,,Energy,Oil & Gas Production
DMRC,Digimarc Corporation Common Stock,United States,,Technology,EDP Services
DMTK,DermTech Inc. Common Stock,United States,2017,Health Care,Medical Specialities
DNLI,Denali Therapeutics Inc. Common Stock,United States,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DOCU,DocuSign Inc. Common Stock,United States,2018,Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation Class A Common Stock,China,2017,Consumer Durables,Miscellaneous manufacturing industries
DOMO,Domo Inc. Class B Common Stock,United States,2018,Technology,Computer Software: Prepackaged Software
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,Canada,,Capital Goods,Industrial Specialties
DORM,Dorman Products Inc. Common Stock,United States,,Capital Goods,Auto Parts:O.E.M.
DOX,Amdocs Limited Ordinary Shares,Guernsey,,Technology,EDP Services
DOYU,DouYu International Holdings Limited ADS,China,2019,Technology,Computer Software: Programming Data Processing
DRIO,DarioHealth Corp. Common Stock,Israel,,Health Care,Medical/Dental Instruments
DRIOW,DarioHealth Corp. Warrant,Israel,,Health Care,Medical/Dental Instruments
DRNA,Dicerna Pharmaceuticals Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
DRRX,DURECT Corporation Common Stock,United States,2000,Health Care,Major Pharmaceuticals
DRTT,DIRTT Environmental Solutions Ltd. Common Shares,Canada,,Technology,Computer Software: Prepackaged Software
DRVN,Driven Brands Holdings Inc. Common Stock,United States,2021,Consumer Services,Automotive Aftermarket
DSAC,Duddell Street Acquisition Corp. Class A Ordinary Shares,Hong Kong,2020,Finance,Business Services
DSACU,Duddell Street Acquisition Corp. Unit,Hong Kong,2020,Finance,Business Services
DSACW,Duddell Street Acquisition Corp. Warrant,Hong Kong,2020,Finance,Business Services
DSGX,Descartes Systems Group Inc. (The) Common Stock,Canada,,Technology,Computer Software: Prepackaged Software
DSKE,Daseke Inc. Common Stock,United States,2015,Consumer Services,Transportation Services
DSKEW,Daseke Inc. Warrant,United States,2015,Consumer Services,Transportation Services
DSP,Viant Technology Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Programming Data Processing
DSPG,DSP Group Inc. Common Stock,United States,1994,Technology,Semiconductors
DSWL,Deswell Industries Inc. Common Shares,Macau,1995,Consumer Non-Durables,Plastic Products
DTEA,DAVIDsTEA Inc. Common Stock,Canada,2015,Consumer Non-Durables,Food Chains
DTIL,Precision BioSciences Inc. Common Stock,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTSS,Datasea Inc. Common Stock,China,,Technology,Computer Software: Prepackaged Software
DUNE,Dune Acquisition Corporation Class A Common Stock,United States,2021,Finance,Business Services
DUNEU,Dune Acquisition Corporation Unit,United States,2020,Finance,Business Services
DUNEW,Dune Acquisition Corporation Warrant,United States,2021,Finance,Business Services
DUO,Fangdd Network Group Ltd. American Depositary Shares,China,2019,Finance,Real Estate
DUOT,Duos Technologies Group Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
DVAX,Dynavax Technologies Corporation Common Stock,United States,2004,Health Care,Major Pharmaceuticals
DWSN,Dawson Geophysical Company Common Stock,United States,,Energy,Oil & Gas Production
DXCM,DexCom Inc. Common Stock,United States,2005,Health Care,Medical/Dental Instruments
DXPE,DXP Enterprises Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
DXYN,Dixie Group Inc. (The) Common Stock,United States,,Consumer Durables,Home Furnishings
DYAI,Dyadic International Inc. Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYN,Dyne Therapeutics Inc. Common Stock,United States,2020,Health Care,Major Pharmaceuticals
DYNT,Dynatronics Corporation Common Stock,United States,,Health Care,Medical/Dental Instruments
DZSI,DZS Inc. Common Stock,United States,,Public Utilities,Telecommunications Equipment
EA,Electronic Arts Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
EACPU,Edify Acquisition Corp. Units,United States,2021,Finance,Business Services
EAR,Eargo Inc. Common Stock,United States,2020,Health Care,Industrial Specialties
EARS,Auris Medical Holding Ltd. Common Shares 0.01 SF (Bermuda),Bermuda,2014,Health Care,Major Pharmaceuticals
EAST,Eastside Distilling Inc. Common Stock,United States,,Consumer Non-Durables,Beverages (Production/Distribution)
EBAY,eBay Inc. Common Stock,United States,1998,Miscellaneous,Business Services
EBAYL,eBay Inc. 6.0% Notes Due 2056,United States,,Miscellaneous,Business Services
EBC,Eastern Bankshares Inc. Common Stock,United States,2020,Finance,Savings Institutions
EBIX,Ebix Inc. Common Stock,United States,,Technology,EDP Services
EBMT,Eagle Bancorp Montana Inc. Common Stock,United States,,Finance,Major Banks
EBON,Ebang International Holdings Inc. Class A Ordinary Shares,China,2020,Technology,Semiconductors
EBSB,Meridian Bancorp Inc. Common Stock,United States,,Finance,Major Banks
EBTC,Enterprise Bancorp Inc Common Stock,United States,,Finance,Major Banks
ECHO,Echo Global Logistics Inc. Common Stock,United States,2009,Transportation,Oil Refining/Marketing
ECOL,US Ecology Inc Common Stock,United States,,Public Utilities,Environmental Services
ECOR,electroCore Inc. Common Stock,United States,2018,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ECPG,Encore Capital Group Inc Common Stock,United States,,Finance,Finance Companies
EDAP,EDAP TMS S.A. American Depositary Shares,France,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDIT,Editas Medicine Inc. Common Stock,United States,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDRY,EuroDry Ltd. Common Shares ,Greece,,Consumer Services,Marine Transportation
